METRO_AREA,STATE,LAT,LON,TOTAL,NAT_RES,CONSTRUCTION,DURABLE,NONDURABLE,RETAIL,TRANSPORT,INFORMATION,FINANCE,BUSINESS,SOCIAL,ARTS_ENT,GOVERNMENT,OTHER
Norwich-New London,CT,41.534914,-72.0545738,0.7,0.01,0.04,0.33,-0.11,0.14,0.61,-0.14,-0.32,0.02,-0.04,-0.03,0.07,0.14
Ocala,FL,29.181889,-82.1370015,3.6,-0.11,0.1,0.16,-0.19,0.13,0.19,0.04,-0.16,0.64,2.46,0.26,0.09,-0.03
Ocean City,NJ,39.2776156,-74.5746001,-2.4,(D),-0.12,0.01,0.24,0.15,-0.06,-0.25,-2.62,0.07,0.08,0.23,-0.02,-0.08
Odessa,TX,31.8465734,-102.3683865,6.3,0.74,0.15,0.54,-0.37,0.38,0.87,-0.02,2.34,0.57,0.33,0.41,0.31,0.05
Ogden-Clearfield,UT,41.1000581,-112.0326776,3.9,(D),0.33,0.53,1.15,0.34,(D),-0.04,0.95,0.06,0.36,0.06,(D),-0.03
Oklahoma City,OK,35.473621,-97.512516,2.6,0.63,-0.15,0.15,0.47,0.29,0.86,0.14,-0.39,0.23,0.26,0.09,0.05,-0.07
Olympia-Tumwater,WA,46.9819584,-122.9075565,1,-0.03,0.13,-0.04,-0.01,0.11,-0.07,0.09,-0.06,0.31,0.3,-0.03,0.08,0.25
Omaha-Council Bluffs,NE,41.4749249,-96.2016186,2.4,-0.22,0.01,0.15,-0.03,0.3,1.36,(D),0.18,0.74,-0.16,0.01,(D),0.01
Orlando-Kissimmee-Sanford,FL,28.5383355,-81.3792365,3.4,-0.04,0.16,0.13,0.01,0.83,0.11,0.24,0.52,0.52,0.35,0.48,0.09,-0.02
Oshkosh-Neenah,WI,44.1102356,-88.712504,-0.1,-0.02,-0.04,-0.83,0.45,0.13,0.08,-0.06,0,0.27,-0.01,0,-0.04,-0.04
Owensboro,KY,37.7719074,-87.1111676,-1.4,-0.5,-0.35,0.22,0,0.09,-0.27,0.05,-0.82,-0.12,0.32,-0.06,0.19,-0.18
Oxnard-Thousand Oaks-Ventura,CA,34.2778,-118.7106375,0.5,-1.09,0.04,0.06,0.01,0.27,-0.13,0.17,0.76,0,0.21,0.06,0.03,0.15
Palm Bay-Melbourne-Titusville,FL,28.1281838,-80.6644859,1,0.02,0.15,1.01,-0.15,0.86,-0.75,0.77,-0.09,-0.95,-0.04,0.1,0.18,-0.07
Panama City,FL,30.1606294,-85.6602988,4.7,0.01,-0.19,0.06,0.21,0.55,-0.31,-0.12,3.46,0.58,(D),(D),0.02,-0.17
Parkersburg-Vienna,WV,39.3237687,-81.5538116,1.1,(D),(D),-0.27,(D),0.34,0.01,-0.08,0.9,0.78,-0.16,-0.01,0.04,-0.12
Pensacola-Ferry Pass-Brent,FL,30.4082401,-87.2684309,2.3,0.05,-0.18,0.09,0.01,0.28,-0.14,0.42,1.58,0.15,0.13,0.12,0.14,-0.31
Peoria,IL,40.6936488,-89.5889864,-1.2,-0.87,-0.04,0.52,0.25,(D),(D),0.03,-0.07,-0.47,-0.02,0,0,-0.22
Philadelphia-Camden-Wilmington,PA,39.5206974,-75.9787351,1.1,-0.01,-0.14,0.02,0.2,0.29,0.03,-0.11,0,0.55,0.3,0.04,0.03,-0.08
Phoenix-Mesa-Scottsdale,AZ,33.6361337,-112.1693248,1.8,-0.03,-0.26,0.15,0.04,0.43,-0.11,0.23,0.38,0.54,0.28,0.14,0.05,-0.06
Pine Bluff,AR,34.2284312,-92.0031955,-3,-0.96,-0.56,0.52,0.14,-0.78,-0.7,-0.01,-0.15,0.08,-0.31,0.04,0,-0.34
Pittsburgh,PA,40.445231,-79.9990561,2.9,1.4,-0.11,0.01,0.16,-0.03,0.07,0.16,0.93,0.21,0.09,0.13,-0.02,-0.08
Pittsfield,MA,42.4477299,-73.2483599,0.2,0.03,-0.06,0.27,-0.45,-0.05,0.05,0.03,0.02,-0.06,0.17,0.08,0.06,0.12
Pocatello,ID,42.8333549,-112.4017993,1.5,0.22,-0.27,-0.39,0.22,0.04,-0.07,0.07,0.86,0.4,0.41,0.03,-0.04,0.04
Portland-South Portland,ME,43.658615,-70.2613503,0,0.01,-0.11,-0.05,-0.18,0.38,0.02,0.01,-0.84,0.6,0.16,0.1,0.04,-0.1
Portland-Vancouver-Hillsboro,OR,45.5226526,-122.9861318,4.3,0.04,0.01,1.91,0.02,0.25,0.09,(D),0.44,1.08,0.22,0.06,(D),0.14
Port St. Lucie,FL,27.322511,-80.309102,1.1,-0.41,0.14,0.3,-0.09,0.59,-0.82,0.06,-0.21,0.69,0.61,0.11,0.16,-0.03
Prescott,AZ,34.5541253,-112.4710412,2.4,0.12,0.32,0.08,0,0.76,-0.06,-0.1,0.23,0.44,0.52,0.15,-0.02,-0.1
Providence-Warwick,RI,41.7074551,-71.5224611,1.5,0,-0.14,0.18,0.08,0.29,-0.03,0.08,0.09,0.77,0.16,0.11,0.04,-0.11
Provo-Orem,UT,40.2755205,-111.6874164,3.6,0.11,0.64,0.33,0.39,-0.14,0.03,1.03,-0.31,0.69,0.51,0.16,0.12,0.03
Pueblo,CO,38.2679268,-104.6070205,3.1,0.1,-0.07,0.58,0.01,0.62,0.39,-0.19,0.18,0.97,0.41,-0.06,-0.01,0.2
Punta Gorda,FL,26.8669803,-82.0004788,1.6,-0.32,0.55,-0.01,-0.04,0.21,0.08,0.04,1.05,0.08,0.41,-0.05,-0.38,-0.03
Racine,WI,42.7261309,-87.7828523,-1.4,0.11,0.15,0.3,-0.06,0.32,-0.08,-0.02,-2.07,-0.16,0.03,0.09,0.07,-0.05
Raleigh,NC,35.18287,-79.451823,2.6,0.07,-0.02,0.22,0.07,0.68,0.63,0,-0.04,0.8,0.17,0.08,0.02,-0.1
Rapid City,SD,44.0759039,-103.21885,1.3,-0.14,0,0.2,-0.07,0.59,0.04,0.06,0.01,0.29,0.24,-0.04,0.02,0.12
Reading,PA,40.3341335,-75.9404796,1.9,-0.14,0.04,0.15,0.04,0.35,0.28,0.02,0.29,0.69,0.3,0.01,0,-0.11
Redding,CA,40.4832865,-122.3250669,1.9,0.1,-0.52,0.05,-0.03,0.09,-0.09,0.23,0.69,0.59,0.39,0.05,-0.05,0.34
Reno,NV,39.5298937,-119.8143372,1.4,-0.41,0.33,-0.16,0.15,(D),0.29,0.09,(D),0.44,0.26,0.05,-0.02,-0.04
Richmond,VA,37.542981,-77.4433302,1.6,0.01,-0.12,(D),(D),0.31,0.09,0.03,0.93,0.28,0.38,-0.01,0.06,0.01
Riverside-San Bernardino-Ontario,CA,34.3737541,-117.6083484,2.9,-0.12,0.15,0.28,0.07,0.64,0.32,0.02,0.05,0.3,0.49,0.23,0.14,0.29
Roanoke,VA,37.1308,-80.4072,1.3,0.01,-0.12,-0.18,-0.18,0.37,0.11,-0.05,1.1,0.02,0.26,-0.09,0.04,0.02
Rochester,MN,44.0170544,-92.4632941,0.6,-0.2,-0.04,-0.71,-0.03,-0.37,-0.03,0.37,-0.26,0.18,1.41,0.1,0.08,0.07
Rochester,NY,43.16103,-77.6109219,-1,-0.01,-0.2,-0.23,-1.15,0.2,0.13,0.19,-0.5,0.33,0.27,-0.04,-0.01,0.01
Rockford,IL,42.2660265,-89.0796603,1,-0.3,0.05,-0.19,0.2,(D),(D),0.11,0.97,0.17,0.01,0.07,0.02,-0.26
Rocky Mount,NC,35.9382103,-77.7905339,-3.2,-0.12,-0.24,0.05,-2.15,-0.42,0.26,-0.2,-0.23,0.22,-0.16,0.03,-0.09,-0.11
Rome,GA,34.243149,-85.1662679,0.8,0,-0.03,-0.07,0.09,1.1,0.07,-0.09,-0.32,0.09,-0.15,0.12,0,-0.05
Sacramento--Roseville--Arden-Arcade,CA,38.897083,-121.2843124,0.9,-0.01,-0.11,0.3,0.07,-0.12,0.04,-0.29,-0.55,0.66,0.3,0.1,0.06,0.46
Saginaw,MI,43.6675215,-84.3685182,0,-0.19,0,-0.74,-0.03,0.63,0.57,-0.15,-1.27,0.86,-0.2,0.02,0.61,-0.12
St. Cloud,MN,45.5615646,-94.1569554,1.4,(D),0.35,0.06,0.14,0.47,0.22,-0.33,0.01,-0.04,0.71,(D),0.03,0.1
St. George,UT,37.1099629,-113.5835409,4,0.2,0.79,0.12,0.28,0.55,0.5,0.09,0.17,0.28,0.62,0.33,0.08,0.03
St. Joseph,MO,39.7679093,-94.8516753,1.7,0.51,0.03,(D),(D),(D),(D),0.09,-0.41,0.38,0.1,-0.02,0.04,-0.06
St. Louis,MO,38.6259609,-90.1922501,1.7,-0.09,-0.13,0.12,0.29,(D),(D),0.05,0.27,0.88,(D),0.04,-0.02,-0.13
Salem,OR,44.9413667,-123.0589501,2.4,-0.06,0.35,0.12,-0.12,0.59,0.12,-0.01,-0.39,0.49,0.66,0.1,0.01,0.49
Salinas,CA,36.679758,-121.651685,0.6,-0.92,0,0.07,0.16,0.02,-0.32,-0.17,0.29,0.58,0.24,0.36,0,0.24
Salisbury,MD,38.45536,-75.580546,0.5,-0.35,-0.11,(D),(D),0.18,0.59,0.07,-1.02,0.34,0.48,0.12,0.06,-0.04
Salt Lake City,UT,40.7736375,-111.8911871,2.2,0.02,-0.13,0.05,0.26,(D),(D),0.28,0.27,(D),0.01,0.1,0.08,0.05
San Angelo,TX,31.4682162,-100.4396072,11.4,(D),0.06,1.85,0.12,(D),(D),(D),0.36,1.09,0.18,0.16,0.23,-0.01
San Antonio-New Braunfels,TX,29.4194261,-98.4612798,3.8,0.93,0.07,0.11,-0.32,0.66,0.42,0.03,0.88,0.41,0.41,(D),0,0.02
San Diego-Carlsbad,CA,32.7425749,-117.1616513,1.4,-0.02,-0.04,0.3,0.57,0.34,-0.4,0.11,-0.64,0.56,0.21,0.2,0.07,0.14
San Francisco-Oakland-Hayward,CA,37.6755259,-122.0877505,5.2,-0.23,0.01,0.2,0.1,0.52,-0.04,1.21,0.83,2.05,0.16,0.16,0.03,0.17
San Jose-Sunnyvale-Santa Clara,CA,36.8503684,-121.399119,6.7,-0.01,-0.01,2.28,0.09,0.25,0.05,1.27,0.57,1.66,0.32,0.14,0.02,0.09
San Luis Obispo-Paso Robles-Arroyo Grande,CA,35.1221643,-120.6336722,2.5,-0.3,-0.2,0.02,0.82,0.46,-0.39,0.22,0.42,0.54,0.3,0.26,0.11,0.27
Santa Cruz-Watsonville,CA,36.9324068,-121.8141094,1.6,-0.32,0.03,0.24,-0.36,0.57,-0.05,0.19,0.32,-0.24,0.4,0.26,0.26,0.28
Santa Fe,NM,35.6869752,-105.937799,-2.5,0.45,-0.77,0,-0.02,-0.18,0.01,-1.08,-0.78,-0.34,0.25,0.04,0.07,-0.11
Santa Rosa,CA,38.436138,-122.722411,3.3,-0.24,-0.06,-0.11,0.78,1.03,0.09,0.18,0.43,0.5,0.38,0.21,-0.03,0.18
Savannah,GA,32.004568,-80.8434429,3.7,-0.01,-0.04,1.26,0.46,0.55,0.21,0.17,0.41,0.5,0.17,0.3,-0.08,-0.15
Scranton--Wilkes-Barre--Hazleton,PA,40.9648586,-75.9725116,0.8,0.18,0.1,-0.01,0.04,(D),(D),-0.1,-0.32,0.2,0.49,-0.13,0.07,-0.11
Seattle-Tacoma-Bellevue,WA,47.640405,-122.3303376,3.4,-0.01,0.07,0.13,0.07,1,-0.02,0.82,0.27,0.66,0.24,0.09,0.03,0.04
Sebastian-Vero Beach,FL,27.7292922,-80.4247712,5.6,-0.2,0,0.28,0.79,0.79,0.52,-0.03,2.06,0.78,0.25,0.31,0.08,-0.02
Sebring,FL,27.495592,-81.440907,-1.7,-2.29,-0.08,-0.03,0.16,0.6,-0.17,0.09,-0.25,0.54,-0.32,0.05,0.06,-0.03
Sheboygan,WI,43.7656088,-87.7045652,3.3,0.02,-0.05,0.76,0.7,0.23,-0.01,0.04,0.75,0.37,0.45,0.06,0.01,-0.03
Sherman-Denison,TX,33.8484913,-96.6775633,0.3,0.55,-0.45,-2.05,0.4,0.59,0.28,-0.02,-0.03,0.59,0.42,-0.06,0.02,0.07
Shreveport-Bossier City,LA,32.5164481,-93.715173,3,1.46,(D),0.22,1.32,0.17,0.07,0.08,-0.25,0.19,0.42,-0.03,-0.02,-0.58
Sierra Vista-Douglas,AZ,31.970089,-110.2965673,-2.8,-0.74,-0.26,(D),(D),0.14,0.05,-0.1,-0.62,-0.28,-0.17,-0.04,-0.02,-0.68
Sioux City,IA,43.0855344,-96.1774682,0.1,(D),(D),0.08,-0.03,0.4,0.03,(D),-0.01,0.84,0.15,(D),(D),0.05
Sioux Falls,SD,43.5294076,-96.7252747,1.7,-0.61,-0.07,0.23,0.04,0.9,(D),0.06,0.14,0.38,(D),0.1,0.02,0.07
South Bend-Mishawaka,IN,41.6744861,-86.2491561,0.7,-0.16,-0.2,-0.41,0.21,0.34,0,0,0.31,0.3,0.21,0.07,0.1,-0.09
Spartanburg,SC,34.9701413,-81.8920644,1.6,-0.06,-0.45,0.86,-0.26,1.07,0.16,-0.04,-0.6,0.74,0.19,-0.03,-0.01,0.08
Spokane-Spokane Valley,WA,47.6605384,-117.417883,2.1,0.24,-0.14,0.15,0,0.27,-0.24,0.02,0.87,0.3,0.33,0,0.19,0.08
Springfield,IL,40.112293,-88.24292,0.5,-0.83,0.02,-0.45,0.07,0.27,0.09,(D),-0.85,0.86,(D),0.17,-0.01,-0.57
Springfield,MA,42.1501368,-72.5373045,1.1,(D),-0.23,(D),(D),0.32,0.15,(D),0.47,0.3,0.51,-0.03,0.09,0.22
Springfield,MO,37.2165955,-93.352462,1.6,-0.01,0.02,0.38,-0.04,(D),(D),0.23,-0.75,1.09,0.25,0.16,0.05,-0.06
Springfield,OH,39.9242266,-83.8088171,-1.9,-0.47,-0.32,-0.23,-1.12,-0.18,0.1,-0.09,0.19,0.85,-0.13,-0.03,-0.31,-0.12
State College,PA,41.4071916,-80.3834797,3.9,0.01,-0.19,-0.03,-0.09,0.15,0.08,0.27,2.71,0.42,0.58,0.06,0.29,-0.38
Staunton-Waynesboro,VA,38.1177643,-79.0713009,-1,-0.07,-0.28,0.05,-0.55,-0.05,-0.03,0.08,-0.09,-0.05,-0.02,-0.03,-0.02,0.04
Stockton-Lodi,CA,38.1340037,-121.2693682,0.3,0.18,-0.11,0.08,0.06,0.41,0.05,0.33,-1.64,0.25,0.22,0.1,0.09,0.27
Sumter,SC,34.871675,-82.431449,2.4,-0.06,-0.55,0.15,1.99,0.21,0.18,0.03,-0.15,0.44,0.25,0.04,-0.02,-0.15
Syracuse,NY,43.009149,-76.1863746,0.3,0.01,-0.32,0.07,0.33,0.14,0.33,0.03,-0.6,0.09,0.12,0.05,0,0.02
Tallahassee,FL,30.4444479,-84.2774,1.1,-0.18,-0.05,-0.07,0,(D),0.01,0.33,-0.08,0.29,0.58,0.11,(D),-0.06
Tampa-St. Petersburg-Clearwater,FL,27.9375644,-82.7409869,2.7,-0.1,0,0.08,0.06,0.58,0.13,-0.2,1.15,0.38,0.28,0.32,0.04,-0.05
Terre Haute,IN,39.4667034,-87.4139092,-4,-2.31,-0.5,-0.06,-1.58,0.01,-0.43,-0.03,0.77,0.26,-0.29,0.42,-0.11,-0.13
Texarkana,TX,33.425125,-94.0476882,-1,0.35,-0.45,-0.14,-0.06,0.3,-0.13,0.04,-1.05,0.17,-0.1,0.04,-0.01,0.01
The Villages,FL,40.1692244,-105.0935246,2.6,-0.29,-1.44,-0.04,-0.12,0.84,-0.47,0.2,1.8,1.12,0.34,0.69,0.06,-0.07
Toledo,OH,41.645316,-83.5184659,6,0.08,0.31,0.69,2.44,0.15,0.1,-0.02,1.71,0.58,0.08,-0.02,-0.05,-0.11
Topeka,KS,39.0336398,-95.6999409,0.1,-0.26,-0.02,0.01,-0.22,-0.51,0.33,-0.08,0.68,0.29,-0.02,-0.05,0.1,-0.17
Trenton,NJ,40.2170534,-74.7429384,-0.3,-0.02,-0.07,0.02,0.18,0,0.24,-0.39,-0.59,0.08,0.17,0.08,0.05,-0.05
Tucson,AZ,32.2290055,-110.9716029,0.5,0.2,-0.35,-0.23,0.04,0.21,0.52,0.07,-0.36,0.17,0.17,0.14,0.08,-0.17
Tulsa,OK,36.1495567,-95.9890685,3.7,2.4,-0.29,0.37,0.17,(D),0.65,(D),-0.32,0.14,0.22,0.1,-0.03,-0.02
Tuscaloosa,AL,33.227924,-87.534502,0.5,-2.78,-0.29,0.95,1.29,(D),(D),0.1,0.17,0.75,-0.13,0.1,0.04,0.01
Tyler,TX,32.3339895,-95.3006768,6.2,4.68,-0.08,0.08,0.59,0.16,0.37,0.12,-0.01,0.24,0.07,0.08,-0.12,0.06
Urban Honolulu,HI,21.4587,-158.010197,1,-0.03,-0.12,0.01,0.16,0.19,0.04,0.02,-0.26,0.3,0.18,0.16,0.04,0.35
Utica-Rome,NY,43.1040563,-75.2226205,-1.3,-0.03,-0.18,0.02,0.05,0.04,0.04,0.02,-0.66,-0.58,-0.17,0.11,0.02,0.02
Valdosta,GA,30.8328,-83.2885,3.1,-0.41,-0.04,0.25,0.25,0.14,0.49,(D),2.47,0.04,-0.08,-0.02,0.09,-0.32
Vallejo-Fairfield,CA,38.1565333,-121.6916331,2,-0.11,-0.47,-0.14,1.78,0.37,0.08,-0.03,-0.65,0.14,0.62,0.09,0.12,0.18
Victoria,TX,30.753159,-95.723017,6.7,4.73,-0.14,-0.08,0.01,0.69,0.62,0.06,-0.01,0.47,0.19,0.01,0.14,0.06
Vineland-Bridgeton,NJ,39.445954,-75.2276576,1,-0.09,0.06,-0.04,0.28,0.29,-1.12,-0.76,1.89,0.14,0.5,-0.02,-0.05,-0.08
Virginia Beach-Norfolk-Newport News,VA,36.8377786,-75.9897424,-0.1,-0.02,-0.21,0.17,-0.33,0.16,0.03,(D),-0.27,0.08,0.24,0.05,(D),-0.14
Visalia-Porterville,CA,36.5557132,-119.3922505,-0.6,-1.69,-0.03,0.09,0.23,0.26,0.02,0.23,-0.39,-0.06,0.12,0.14,0.16,0.34
Waco,TX,31.5567352,-97.1319066,2.5,0.08,-0.31,-0.66,0.27,0.54,0.29,0.02,0.66,1.09,0.02,0.04,0.38,0.08
Walla Walla,WA,46.5652301,-120.5055984,0,-2.75,-0.41,-1.62,2.03,0.02,0.73,-0.8,-1.53,1.57,2.72,-0.09,-0.32,0.5
Warner Robins,GA,32.6130007,-83.624201,-1.7,-0.06,-0.07,0.34,(D),-0.13,0.06,(D),-0.13,-1.11,0.04,0.03,-0.38,-0.39
Washington-Arlington-Alexandria,DC,38.8898162,-77.0020567,0.3,0,-0.14,0.02,0.03,-0.01,-0.01,0.18,-0.13,0.18,0.06,0.05,0.05,-0.02
Waterloo-Cedar Falls,IA,42.4947449,-92.3326357,-0.8,(D),-0.09,-0.7,-0.02,0.07,-0.07,0.06,-0.16,0.33,0.22,-0.04,0.08,0.06
Watertown-Fort Drum,NY,44.0385993,-75.6852491,-1.9,0.05,-0.35,0.15,0.11,0.24,-0.46,0.03,-0.79,-0.2,0.14,-0.04,-0.01,-0.76
Wausau,WI,44.9752993,-89.6394749,3,0.3,-0.11,0.75,-0.09,0.39,-0.12,0,1.18,0.4,0.32,0.09,-0.03,-0.04
Weirton-Steubenville,WV,40.3666682,-80.5251995,0.7,0.05,0.16,-0.07,0.55,0.23,0.07,-0.39,-0.3,-0.07,0.44,0.03,0.03,-0.08
Wenatchee,WA,47.4279943,-120.3289698,3.7,-0.04,0.76,0.21,0.24,0.6,-0.05,0.23,0.24,0.22,0.79,0.23,0.14,0.13
Wheeling,WV,40.078338,-80.7260664,9.5,7.93,0.09,0.17,-1.38,0.25,0.04,-0.02,1.17,1.12,0.16,-0.02,0.06,-0.06
Wichita,KS,37.8006972,-97.3316325,2.2,0.23,0,0.15,1.12,-0.02,0.16,0.2,-0.07,0.57,-0.06,0.05,0,-0.12
Wichita Falls,TX,34.0990377,-98.316194,2.1,(D),-0.1,(D),(D),-0.03,0,-0.2,(D),(D),-0.21,-0.01,0.05,-0.02
Williamsport,PA,41.2412697,-77.0007706,3.9,0.4,-0.23,-0.07,0.05,-0.08,0.36,0.04,2.59,0.5,0.48,-0.05,0.01,-0.13
Wilmington,NC,34.0202568,-77.8974607,0,-0.05,-0.02,-1.25,-0.58,0.37,-0.02,0.25,0.78,0.39,0.07,0.1,0.03,-0.09
Winchester,VA,39.1856597,-78.1633341,-1.1,-0.01,-0.33,-0.09,-0.46,0,0,0.01,-0.04,-0.04,-0.04,-0.07,-0.01,0.01
Winston-Salem,NC,36.1028109,-80.2437675,3.7,0.12,-0.17,-0.3,1.38,0.04,0.13,0.01,1.38,0.69,0.38,0.08,(D),-0.08
Worcester,MA,42.20153,-72.61185,1.6,0.03,-0.02,0.17,0.71,-0.08,0.35,-0.47,(D),0.35,0.12,(D),-0.1,0.16
Yakima,WA,46.6007194,-120.5125516,0.3,0.24,0.07,-0.09,0.02,0.24,0.26,-0.03,-0.97,0.11,0.29,-0.06,0.07,0.12
York-Hanover,PA,39.8009646,-76.9822498,0.7,-0.14,-0.12,-0.21,-0.04,0.18,0.35,-0.2,0.46,0.28,0.11,0.06,0.06,-0.11
Youngstown-Warren-Boardman,OH,40.914663,-80.6511108,0.8,0.28,-0.35,0.77,0.16,0.49,0.05,-0.01,-0.43,-0.01,-0.04,0.14,-0.11,-0.11
Yuba City,CA,39.1396752,-121.5834563,0.4,-1.14,0.17,-0.07,-0.16,0.47,0.29,0.06,-0.18,0.04,0.21,0.02,0.45,0.2
Yuma,AZ,32.6926512,-114.6276916,-1.5,-0.81,-0.36,-0.15,-0.05,0.34,-0.03,-0.02,-0.58,0.61,-0.01,-0.1,0.02,-0.37
